O=C(N1CCCCC1)N2c3ccccc3C=Cc4ccccc24	CHEMBL3103371	pIC50=5.1
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(C)(C)O)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684594	pIC50=7.92
CCNC(=O)c1ccc(cc1)C(=O)C2C(C(CC)CC)N(C(=O)C2=O)c3ccc(cc3)c4ccon4	CHEMBL3669697	pIC50=7.92
COC(=O)COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3669762	pIC50=7.92
COC(=O)COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669763	pIC50=7.92
COC(=O)Nc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3679939	pIC50=7.92
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3674754	pIC50=7.92
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cccs5	CHEMBL3684543	pIC50=7.92
COc1ccc(cc1)C(=O)C2C(C3CCCCC3)N(C(=O)C2=O)c4ccc(cc4)c5cocc5	CHEMBL3669722	pIC50=7.92
COc1ccc(cc1)C(=O)C2C(C3CCCCC3)N(C(=O)C2=O)c4ccc(cc4)c5occc5	CHEMBL3639685	pIC50=7.92
C[S+]([O-])CCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3679920	pIC50=7.92
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(=N)NO)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684595	pIC50=7.96
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(=O)O)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679898	pIC50=7.96
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC[S+](C)[O-])c12)c4ccc(cc4)c5ccsc5	CHEMBL3679924	pIC50=7.96
CNC(=O)COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3679900	pIC50=7.96
COCCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669772	pIC50=7.96
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684544	pIC50=7.96
COCc1ccccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3674904	pIC50=7.96
COc1ccccc1C2N(C(=O)c3[nH]nc(c23)C(C)(C)C(=O)N(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684584	pIC50=7.96
COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3679923	pIC50=7.96
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cccs5	CHEMBL3684618	pIC50=7.96
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cn4)c5cccs5	CHEMBL3684660	pIC50=7.96
CC(C)(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCCO)c12)c4ccc(cc4)c5cccs5	CHEMBL3679893	pIC50=8.0
CC(C)OCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3679803	pIC50=8.0
CC(C)Oc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3679745	pIC50=8.0
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCNC(=O)C)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684588	pIC50=8.0
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cocc5	CHEMBL3684551	pIC50=8.0
COCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674773	pIC50=8.0
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674776	pIC50=8.0
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3NC(=O)N)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679931	pIC50=8.05
COC(=O)COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cccs5	CHEMBL3679872	pIC50=8.05
COCCOc1cc(F)ccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674879	pIC50=8.05
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC(=O)N	CHEMBL3669797	pIC50=8.1
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCO)c12)c4ccc(cc4)c5cocc5	CHEMBL3684550	pIC50=8.1
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC(CO)CO	CHEMBL3679764	pIC50=8.1
CC(C)Oc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674817	pIC50=8.1
CCOCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3679805	pIC50=8.1
COC(=O)COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3679871	pIC50=8.1
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674787	pIC50=8.1
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5occc5	CHEMBL3679878	pIC50=8.1
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5occc5	CHEMBL3679888	pIC50=8.1
COCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3674755	pIC50=8.1
COCc1ccccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674779	pIC50=8.1
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cn4)c5ccsc5	CHEMBL3684649	pIC50=8.1
COc1ccccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669843	pIC50=8.1
CSc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3679818	pIC50=8.1
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCNS(=O)(=O)C)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684583	pIC50=8.16
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCCCO	CHEMBL3674933	pIC50=8.16
CC(C)Oc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3674906	pIC50=8.16
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(=O)N)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679901	pIC50=8.16
CN(C)C(=O)COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684578	pIC50=8.16
COCCOc1cc(F)ccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674878	pIC50=8.16
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3639686	pIC50=8.16
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3674896	pIC50=8.16
COCCOc1ccccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674967	pIC50=8.16
COCCOc1ncccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3679738	pIC50=8.16
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3674895	pIC50=8.16
COCc1ccccc1[C@@H]2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674871	pIC50=8.16
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(CO)CO)c4ccc(cc4)c5ccsc5	CHEMBL3684662	pIC50=8.16
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4N5CCOCC5	CHEMBL3674946	pIC50=8.22
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC(CO)CO	CHEMBL3674958	pIC50=8.22
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCS(=O)(=O)C)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684644	pIC50=8.22
COCCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3679755	pIC50=8.22
COCCOc1ccccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674750	pIC50=8.22
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5cccs5	CHEMBL3679886	pIC50=8.22
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3679883	pIC50=8.22
COCCOc1ncccc1[C@@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674905	pIC50=8.22
COCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669849	pIC50=8.22
COCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3674897	pIC50=8.22
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC#N	CHEMBL3669820	pIC50=8.3
CC(C)(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCCO)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679890	pIC50=8.3
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC(=N)NO	CHEMBL3674748	pIC50=8.3
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC5OCCO5	CHEMBL3679812	pIC50=8.3
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4N5CCOCC5	CHEMBL3674945	pIC50=8.3
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OC(CO)CO)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684635	pIC50=8.3
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(=O)NN)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679902	pIC50=8.3
CNC(=O)COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684579	pIC50=8.3
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5cccs5	CHEMBL3684622	pIC50=8.3
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC#N)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684585	pIC50=8.4
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(=O)N)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684581	pIC50=8.4
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(=O)O)c12)c4ccc(cc4)c5cccs5	CHEMBL3679873	pIC50=8.4
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(=O)O)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679874	pIC50=8.4
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCO)c12)c4ccc(cc4)c5cccs5	CHEMBL3679863	pIC50=8.4
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4OCC#N	CHEMBL3669822	pIC50=8.4
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4N5CCOCC5	CHEMBL3679752	pIC50=8.4
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3NS(=O)(=O)C)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679932	pIC50=8.4
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC#N)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684553	pIC50=8.4
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5ccsc5	CHEMBL3684555	pIC50=8.4
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCCO)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679947	pIC50=8.52
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCc4nnn[nH]4)c12)c5ccc(cc5)c6ccsc6	CHEMBL3684586	pIC50=8.52
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCc4nnn[nH]4)c12)c5ccc(cc5)c6ccsc6	CHEMBL3684587	pIC50=8.52
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(nc4)c5cccs5	CHEMBL3684652	pIC50=8.52
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5ccsc5	CHEMBL3684621	pIC50=8.52
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3C(=O)N(C)C)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679937	pIC50=8.7
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3C(=O)N)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679934	pIC50=8.7
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3C(=O)NCCO)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679935	pIC50=8.7
CNC(=O)c1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3679936	pIC50=8.7
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(nc4)c5ccsc5	CHEMBL3684651	pIC50=8.7
