O=C(N1CCCCC1)N2c3ccccc3C=Cc4ccccc24	CHEMBL3103371	pIC50=5.1
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OCC#N	CHEMBL3669756	pIC50=6.45
COCCN(C)C(=O)c1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3679840	pIC50=6.45
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(c4ccsc4)c(c3)N(C)C	CHEMBL3674768	pIC50=6.45
COc1ccccc1C2C(C(=O)CC(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669738	pIC50=6.45
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(OC(F)(F)F)cc4	CHEMBL3679941	pIC50=6.45
COCCOc1ncccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5noc(C)n5	CHEMBL3679787	pIC50=6.46
COc1ccc(cc1)c2n[nH]c3C(=O)N(C(c4ccccc4OCCO)c23)c5nc6cc(OC)ccc6s5	CHEMBL3684545	pIC50=6.46
COc1ccc(cc1)c2n[nH]c3C(=O)N(CCCc4occc4)C(c5ccccc5OC)c23	CHEMBL3684630	pIC50=6.46
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc4sccc4c3	CHEMBL3674793	pIC50=6.46
COc1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674853	pIC50=6.46
C[C@@H](Nc1ncnc2CCN(Cc12)c3ccc(Cl)cn3)c4ccc(Cl)cc4	CHEMBL3643328	pIC50=6.46
Cc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cccs4	CHEMBL3669787	pIC50=6.46
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OCCO	CHEMBL3674798	pIC50=6.47
CCc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669749	pIC50=6.47
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(SC(F)(F)F)cc3	CHEMBL3674949	pIC50=6.47
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3674828	pIC50=6.47
COc1ccc(cc1)C(=O)C2C(C3CCCCC3)N(C(=O)C2=O)c4ccc5[nH]ccc5c4	CHEMBL3669705	pIC50=6.47
COc1ccccc1C2C(C(=O)c3cc[nH]c3)C(=O)C(=O)N2c4ccc(cc4)c5csc(C)c5	CHEMBL3679814	pIC50=6.47
COc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(nc3)c4cccs4	CHEMBL3669770	pIC50=6.47
COc1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3674856	pIC50=6.47
FC(F)(F)Oc1ccc(cc1)C(=O)C2C(C3CCCCC3)N(C(=O)C2=O)c4ccc(cc4)c5ccon5	CHEMBL3669711	pIC50=6.47
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4cccnc4Cl	CHEMBL3674784	pIC50=6.48
